"","Specimen.ID","Genus","Species","Serotype","Data.Year","AZM.Rslt"
"236","2015AM-0610","Salmonella","enterica","Enteritidis",2015,4
"237","2015AM-0612","Salmonella","enterica","Typhimurium",2015,4
"238","2015AM-0621","Salmonella","enterica","Braenderup",2015,4
"239","2015AM-0622","Salmonella","enterica","Enteritidis",2015,4
"240","2015AM-0623","Salmonella","enterica","Enteritidis",2015,4
"241","2015AM-0624","Salmonella","enterica","Heidelberg",2015,4
"242","2015AM-0625","Salmonella","enterica","Montevideo",2015,4
"243","2015AM-0626","Salmonella","enterica","Muenchen",2015,4
"244","2015AM-0627","Salmonella","enterica","Muenchen",2015,2
"245","2015AM-0628","Salmonella","enterica","Newport",2015,4
"246","2015AM-0629","Salmonella","enterica","Newport",2015,2
"247","2015AM-0630","Salmonella","enterica","Newport",2015,4
"248","2015AM-0631","Salmonella","enterica","I 4,[5],12:b:- var. L(+) tartrate+",2015,2
"249","2015AM-0632","Salmonella","enterica","Mississippi",2015,8
"250","2015AM-0633","Salmonella","enterica","Mississippi",2015,4
"251","2015AM-0634","Salmonella","enterica","Typhimurium",2015,4
"252","2015AM-0650","Salmonella","enterica","Braenderup",2015,4
"253","2015AM-0651","Salmonella","enterica","Enteritidis",2015,4
"254","2015AM-0652","Salmonella","enterica","Hartford",2015,4
"255","2015AM-0653","Salmonella","enterica","Infantis",2015,4
"256","2015AM-0654","Salmonella","enterica","Muenster",2015,4
"257","2015AM-0655","Salmonella","enterica","Newport",2015,4
"258","2015AM-0656","Salmonella","enterica","Paratyphi B var. L(+) tartrate+",2015,4
"259","2015AM-0657","Salmonella","enterica","Schwarzengrund",2015,4
"260","2015AM-0658","Salmonella","enterica","Typhimurium",2015,4
"261","2015AM-0661","Salmonella","enterica","Typhimurium",2015,4
"262","2015AM-0662","Salmonella","enterica","Agona",2015,4
"263","2015AM-0663","Salmonella","enterica","Enteritidis",2015,4
"264","2015AM-0665","Salmonella","enterica","Enteritidis",2015,2
"265","2015AM-0666","Salmonella","enterica","Enteritidis",2015,4
"266","2015AM-0667","Salmonella","enterica","Enteritidis",2015,2
"267","2015AM-0668","Salmonella","enterica","Heidelberg",2015,4
"268","2015AM-0669","Salmonella","enterica","Javiana",2015,4
"269","2015AM-0670","Salmonella","enterica","Muenchen",2015,4
"270","2015AM-0671","Salmonella","enterica","Poona",2015,4
"271","2015AM-0672","Salmonella","enterica","Rissen",2015,4
"272","2015AM-0683","Salmonella","enterica","Braenderup",2015,4
"273","2015AM-0684","Salmonella","enterica","Cotham",2015,4
"274","2015AM-0685","Salmonella","enterica","Enteritidis",2015,2
"275","2015AM-0686","Salmonella","enterica","Enteritidis",2015,2
"276","2015AM-0687","Salmonella","enterica","Enteritidis",2015,2
"277","2015AM-0688","Salmonella","enterica","Enteritidis",2015,2
"278","2015AM-0689","Salmonella","enterica","Enteritidis",2015,2
"279","2015AM-0690","Salmonella","enterica","Enteritidis",2015,4
"280","2015AM-0691","Salmonella","enterica","Enteritidis",2015,2
"281","2015AM-0692","Salmonella","enterica","Enteritidis",2015,4
"282","2015AM-0693","Salmonella","enterica","Heidelberg",2015,4
"283","2015AM-0694","Salmonella","enterica","Heidelberg",2015,4
"284","2015AM-0695","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"285","2015AM-0696","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"286","2015AM-0697","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"287","2015AM-0698","Salmonella","enterica","Panama",2015,2
"288","2015AM-0699","Salmonella","enterica","Paratyphi B var. L(+) tartrate+",2015,4
"289","2015AM-0704","Salmonella","enterica","Typhimurium",2015,2
"290","2015AM-0705","Salmonella","enterica","Typhimurium",2015,2
"291","2015AM-0706","Salmonella","enterica","Typhimurium",2015,4
"292","2015AM-0707","Salmonella","enterica","Typhimurium",2015,2
"293","2015AM-0722","Salmonella","enterica","Berta",2015,4
"294","2015AM-0723","Salmonella","enterica","Cotham",2015,4
"295","2015AM-0724","Salmonella","enterica","Dublin",2015,8
"296","2015AM-0725","Salmonella","enterica","Enteritidis",2015,2
"297","2015AM-0726","Salmonella","enterica","Enteritidis",2015,2
"298","2015AM-0727","Salmonella","enterica","Enteritidis",2015,4
"299","2015AM-0728","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"300","2015AM-0729","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"301","2015AM-0730","Salmonella","enterica","London",2015,2
"302","2015AM-0731","Salmonella","enterica","Oranienburg",2015,4
"303","2015AM-0735","Salmonella","enterica","Typhimurium",2015,4
"304","2015AM-0768","Salmonella","enterica","Baildon",2015,4
"305","2015AM-0769","Salmonella","enterica","Bareilly",2015,4
"306","2015AM-0770","Salmonella","enterica","Enteritidis",2015,2
"307","2015AM-0771","Salmonella","enterica","Enteritidis",2015,4
"308","2015AM-0772","Salmonella","enterica","Enteritidis",2015,2
"309","2015AM-0773","Salmonella","enterica","Infantis",2015,4
"310","2015AM-0774","Salmonella","enterica","Infantis",2015,4
"311","2015AM-0775","Salmonella","enterica","Newport",2015,2
"312","2015AM-0778","Salmonella","enterica","Saintpaul",2015,2
"313","2015AM-0784","Salmonella","enterica","Typhimurium",2015,4
"314","2015AM-0785","Salmonella","enterica","Typhimurium",2015,2
"315","2015AM-0786","Salmonella","enterica","Typhimurium",2015,2
"316","2015AM-0787","Salmonella","enterica","Typhimurium",2015,2
"317","2015AM-0789","Salmonella","enterica","Enteritidis",2015,2
"318","2015AM-0790","Salmonella","enterica","Heidelberg",2015,4
"319","2015AM-0791","Salmonella","enterica","Paratyphi B var. L(+) tartrate+",2015,4
"320","2015AM-0792","Salmonella","enterica","Paratyphi B var. L(+) tartrate+",2015,2
"321","2015AM-0793","Salmonella","enterica","Roodepoort",2015,4
"322","2015AM-0794","Salmonella","enterica","Saintpaul",2015,2
"323","2015AM-0798","Salmonella","enterica","Agbeni",2015,4
"324","2015AM-0799","Salmonella","enterica","Dublin",2015,4
"325","2015AM-0800","Salmonella","enterica","Enteritidis",2015,2
"326","2015AM-0801","Salmonella","enterica","Enteritidis",2015,4
"327","2015AM-0802","Salmonella","enterica","Enteritidis",2015,4
"328","2015AM-0803","Salmonella","enterica","Enteritidis",2015,2
"329","2015AM-0804","Salmonella","enterica","Enteritidis",2015,2
"330","2015AM-0805","Salmonella","enterica","Kiambu",2015,4
"331","2015AM-0806","Salmonella","enterica","Montevideo",2015,2
"332","2015AM-0807","Salmonella","enterica","Panama",2015,4
"333","2015AM-0808","Salmonella","enterica","Saintpaul",2015,4
"334","2015AM-0809","Salmonella","enterica","Senftenberg",2015,2
"335","2015AM-0810","Salmonella","enterica","Stanley",2015,2
"336","2015AM-0811","Salmonella","enterica","Toucra",2015,4
"337","2015AM-0813","Salmonella","enterica","Typhimurium",2015,2
